Ticker,Date,Close,ChangePct,Market Cap,YTDpct,Beta,AnalystRating,RecentEarnings,UpcomingEarnings,Sector,FailReason
A,2025-09-29,124.02,0.51,34.98B,-7.05,1.06,,,,LABORATORY ANALYTICAL INSTRUMENTS,
AA,2025-09-29,33.75,3.19,8.47B,-11.15,1.85,,,,PRIMARY PRODUCTION OF ALUMINUM,StochRSI
AACB,2025-09-26,10.18,0.3,281.73M,3.04,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AACI,2025-09-26,10.4,0.65,328.54M,3.59,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AACT,2025-09-24,9.49,6.87,,-13.49,0.0,,,,,"Volume,MarketCap,Beta,StochRSI"
AAL,2025-09-29,11.41,0.93,7.46B,-32.85,1.39,,,,"AIR TRANSPORTATION, SCHEDULED",MA50x200
AAM,2025-09-29,10.5,-0.19,462.61M,3.86,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AAME,2025-09-29,2.98,2.76,59.15M,100.67,0.4,,,,LIFE INSURANCE,"Universe,Volume,MarketCap,Beta,YTD"
AAMI,2025-09-29,49.03,0.18,1.75B,90.11,,,,,INVESTMENT ADVICE,"Volume,MarketCap,Beta,YTD,StochRSI"
AAOI,2025-09-29,25.97,0.78,1.61B,-27.05,2.96,,,,SEMICONDUCTORS & RELATED DEVICES,MarketCap
AAON,2025-09-29,92.5,1.64,7.42B,-21.57,1.38,,,,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,"StochRSI,MA50x200"
AAP,2025-09-29,62.67,2.74,3.66B,30.18,0.96,,,,RETAIL-AUTO & HOME SUPPLY STORES,"Beta,StochRSI"
AAPL,2025-09-29,254.53,-0.36,3.79T,4.38,1.16,,,,ELECTRONIC COMPUTERS,StochRSI
AARD,2025-09-29,14.09,6.5,287.00M,-1.54,,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,StochRSI"
AAT,2025-09-29,20.23,-0.27,1.24B,-22.35,0.95,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,MA50x200"
AAUC,2025-09-29,17.39,1.96,1.97B,15.28,,,,,"Allied Gold Corp is a company focused on gold mining activities in Africa. Allied has three mines and several development and exploration projects in Africa where it has operating experience. Operations are located in Cote d'Ivoire, Mali, and Ethiopia. The company expands and optimizes initiatives at existing operating mines, the development of new mines, the advancement of its exploration properties, and, targeting other consolidation opportunities with a focus on Africa.","Volume,MarketCap,Beta,StochRSI"
AB,2025-09-29,38.0,0.26,4.19B,2.54,0.95,,,,INVESTMENT ADVICE,"Volume,Beta,StochRSI"
ABAT,2025-09-29,5.03,14.76,517.05M,135.99,2.07,,,,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"MarketCap,YTD,StochRSI"
ABBV,2025-09-29,221.31,0.32,389.72B,23.33,0.36,,,,PHARMACEUTICAL PREPARATIONS,Beta
ABCB,2025-09-29,74.03,-1.11,5.13B,21.38,1.23,,,,STATE COMMERCIAL BANKS,Volume
